,Title,lyric
4436,Bye Bye Love,Maybe we're better apart (Maybe we're better apart)
1929,Bye Bye Love,"It wasn't long ago that you turned your back, no."
5417,Bye Bye Love,Maybe we're better apart (Maybe we're better apart)
5090,Bye Bye Love,"So Bye Bye Love (Bye, Bye, Bye, Bye, girl.)"
5199,Bye Bye Love,"So Bye Bye Love (Bye, Bye, Bye, Bye, girl.) Bye Love (Oh, Bye Bye love)
"
512,Bye Bye Love,"But baby you decided he was your man
"
948,Bye Bye Love,But I'm not sure now if I wanna be down
10213,Bye Bye Love,76
6071,Bye Bye Love,So Bye Bye Love (Singing Bye bye love)
185,Bye Bye Love,You should be right here laying next to me
6616,Bye Bye Love,"I'm saying goodbye to you (Say Goodbye...)
(Bye, bye, love) I'm saying goodbye to you (Say Goodbye...)
(Bye, bye, love) I'm saying goodbye to you (Say Goodbye...)
(Bye, bye, love) I'm saying goodbye to you (Say Goodbye...)
(Say goodbye, bye, love) I'm saying goodbye to you"
3455,Bye Bye Love,"So Bye Bye Love (Bye Bye, Bye Bye Love) Bye Love (Bye Bye, Bye Bye Love.)"
10322,Bye Bye Love,76
2365,Bye Bye Love,"He's playing little games, you calling me again"
1820,Bye Bye Love,"Yeah...
 Crazy how the tables turn"
403,Bye Bye Love,You could be right here getting the best of me
4109,Bye Bye Love,"Whoo, whooo, let it go, let it go.
"
5635,Bye Bye Love,"See I don't want a girl That, only wanna come back"
2583,Bye Bye Love,But I'm not sure now if I wanna be down
621,Bye Bye Love,"But baby you decided he was your man
 And now that you're finding out"
10976,Bye Bye Love,27.4
3128,Bye Bye Love,"Cause, some other man broke her heart
"
3891,Bye Bye Love,"This time I think its best to do it at all!
"
4763,Bye Bye Love,"Cause, some other man broke her heart
"
5962,Bye Bye Love,"So Bye Bye Love (Singing Bye Bye Love) Bye Love (Bye Bye, bye, bye, Love)"
6289,Bye Bye Love,I'm saying goodbye to you (I'm saying goodbye to you..)
2801,Bye Bye Love,I think I wanna stay single Maybe we're better apart
1166,Bye Bye Love,I think I wanna stay single Maybe we're better apart
5853,Bye Bye Love,So Bye Bye Love (Singing Bye Bye Love)
1602,Bye Bye Love,"Cause, some other man broke her heart
 So Bye Bye Love"
4654,Bye Bye Love,"See I don't want a girl That, only wanna come back"
5308,Bye Bye Love,I think I wanna stay single (I think I wanna stay.)
11194,Bye Bye Love,67.7
1275,Bye Bye Love,Maybe we're better apart See I don't want a girl
1493,Bye Bye Love,"Cause, some other man broke her heart
"
1384,Bye Bye Love,"See I don't want a girl That, only wanna come back"
3155,Chances,"Don't know exactly what it means (Ooh, oh, yeah)"
2283,Chances,"Getting close to you, but here we are?
"
757,Chances,What's a guy like me doing in a place like this?
3918,Chances,"What are the chances? (What are the chances?)
2 in a million, once in a life"
11330,Chances,99.6
430,Chances,"And you never showed up where I happened to be
"
10349,Chances,103
1520,Chances,What if I hadn't asked for your name?
1956,Chances,What's a girl like you doing in a place like this?
3700,Chances,"That I could have found you, put my arms around you (My arms around you)"
1629,Chances,And time hadn't stopped when you said it to me? Oh
2065,Chances,"On a crowded room, what are the odds?"
539,Chances,What's a girl like you doing in a place like this?
2610,Chances,"That I could have found you, put my arms around you"
2719,Chances,"Like 2 in a million, like once in a life"
4027,Chances,"What are the chances? (What are the chances?)
2 in a million, once in a life"
11221,Chances,78.7
1411,Chances,"Like 2 in a million, like once in a life What are the chances?
"
10458,Chances,DNA
2828,Chances,"Like 2 in a million, like once in a life What are the chances?
"
1193,Chances,"I could have found you, put my arms around you"
975,Chances,What are the chances that we'd end up dancing?
1738,Chances,Of all of the plans that I could have made
2174,Chances,What's a guy like me doing in a place like this?
3482,Chances,"Maybe you and I were meant to be
"
11112,Chances,0.5
1847,Chances,"Of all of the nights that I couldn't sleep, oh
"
648,Chances,"On a quiet night, what are the odds?"
10894,Chances,"What if I never run into you?
What if you never smiled at me?
What if I had noticed you too?
And you never showed up where I happened to be

What's a girl like you doing in a place like this?
On a quiet night, what are the odds?
What's a guy like me doing in a place like this?
I could have just walked by, who would have thought?

What are the chances that we'd end up dancing?
Like 2 in a million, like once in a life
I could have found you, put my arms around you
Like 2 in a million, like once in a life
What are the chances?

What if I hadn't asked for your name?
And time hadn't stopped when you said it to me? Oh
Of all of the plans that I could have made
Of all of the nights that I couldn't sleep, oh

What's a girl like you doing in a place like this?
On a crowded room, what are the odds?
What's a guy like me doing in a place like this?
Getting close to you, but here we are?

What are the chances that we'd end up dancing?
Like 2 in a million, like once in a life
That I could have found you, put my arms around you
Like 2 in a million, like once in a life
What are the chances?

Is it love? Is it fate?
Who am I? Who's to say?
Don't know exactly what it means (Ooh, oh, yeah)
Is it love? Is it fate?
Where it leads, who can say?
Maybe you and I were meant to be

What, what
What are the chances that we'd end up dancing?
2 in a million, once in a life
That I could have found you, put my arms around you (My arms around you)
Like 2 in a million (It's like 2 in a million), like once in a life, yeah (Whoa)
What are the chances? (What are the chances?)
2 in a million, once in a life
What are the chances? (What are the chances?)
2 in a million, once in a life"
212,Chances,What if you never smiled at me?
10567,Chances,Studio albums
2392,Chances,What are the chances that we'd end up dancing?
3809,Chances,"Like 2 in a million (It's like 2 in a million), like once in a life, yeah (Whoa)"
1084,Chances,"Like 2 in a million, like once in a life"
10240,Chances,103
3264,Chances,"Don't know exactly what it means (Ooh, oh, yeah) Is it love? Is it fate?"
866,Chances,"I could have just walked by, who would have thought?
"
11003,Chances,20.7
3591,Chances,"What are the chances that we'd end up dancing?
2 in a million, once in a life"
3373,Chances,"Is it love? Is it fate? Where it leads, who can say?"
321,Chances,What if I had noticed you too?
2501,Chances,"Like 2 in a million, like once in a life"
1302,Chances,"Like 2 in a million, like once in a life"
3046,Chances,Is it love? Is it fate? Who am I? Who's to say?
103,Chances,What if I never run into you?
2937,Chances,"What are the chances?
 Is it love? Is it fate?"
4356,Chateau,"I said it, what if I said it? (Yeah) Baby, I want you back (Yeah)"
977,Chateau,"And now there's only five left to tell you
"
5337,Chateau,"Woah-oh, oh-oh Woah-oh, oh-oh, at the chateau"
2394,Chateau,"Another day without you, come on
 Baby, I want you back"
4901,Chateau,"Woah-oh, oh-oh (Baby, would you meet me) Woah-oh, oh-oh, at the chateau"
10896,Chateau,"I saw you on the corner
You look happy, happier than I do
Your hair's a little longer
Am I crazy, is it blonder than it was than
When you walked out my house?
I didn't say a thing, no
It's funny how a year can fill your head with should've, would've, could've been

Took my words, wrote them down, threw them out
And now there's only five left to tell you

Baby, I want you back
There's a space in my bed
In the shape of your head
I said it, what if I said it?
Baby, I want you back
Would you come back around?
'Cause I need you right now
I said it, there, I said it
Baby, I want you back

Would you meet me at the chateau?
At a table, I'd get your favorite chardonnay, yeah
'Cause babe, you know, a bottle is a little bit too much to drink alone
We could catch up, make out, make up
'Cause I don't wanna go (Ooh, ooh, ooh)
Another day without you, come on

Baby, I want you back
There's a space in my bed (In my bed)
In the shape of your head (Of your head)
I said it, what if I said it? (Yeah)
Baby, I want you back (I want you)
Would you come back around? (Around)
'Cause I need you right now
I said it, there, I said it (Yeah)
Baby, I want you back (Woo)

Woah-oh, oh-oh
Woah-oh, oh-oh, at the chateau
Baby, I want you back
Woah-oh, oh-oh
Woah-oh, oh-oh, at the chateau
Baby, I want you back

Took my words, wrote them down, threw them out
And now there's only five left to tell you

Baby, I want you back (Yeah)
There's a space in my bed
In the shape of your head
I said it, what if I said it? (Yeah)
Baby, I want you back (Yeah)
Would you come back around?
'Cause I need you right now (Need you right now)
I said it, there, I said it (Yeah)
Baby, I want you back

Woah-oh, oh-oh (Baby, would you meet me)
Woah-oh, oh-oh, at the chateau
Baby, I want you back
Woah-oh, oh-oh (Baby, would you meet me)
Woah-oh, oh-oh, at the chateau
Woah-oh, oh-oh
Woah-oh, oh-oh, at the chateau
Baby, would you meet me at the chateau?
Baby, I want you back (Oh, woah)
Woah-oh, oh-oh (Baby, would you meet me)
Woah-oh, oh-oh, at the chateau
Baby, I want you back"
1522,Chateau,"I said it, what if I said it? Baby, I want you back"
10242,Chateau,105
1740,Chateau,"I said it, there, I said it"
2176,Chateau,"We could catch up, make out, make up
'Cause I don't wanna go (Ooh, ooh, ooh)"
2503,Chateau,There's a space in my bed (In my bed)
5555,Chateau,"Baby, I want you back (Oh, woah)"
4683,Chateau,"I said it, there, I said it (Yeah) Baby, I want you back
"
868,Chateau,"Took my words, wrote them down, threw them out"
5010,Chateau,"Woah-oh, oh-oh, at the chateau Baby, I want you back"
1304,Chateau,There's a space in my bed In the shape of your head
2285,Chateau,"We could catch up, make out, make up
'Cause I don't wanna go (Ooh, ooh, ooh) Another day without you, come on
"
2067,Chateau,"At a table, I'd get your favorite chardonnay, yeah
'Cause babe, you know, a bottle is a little bit too much to drink alone"
1631,Chateau,"Would you come back around?
'Cause I need you right now"
1086,Chateau,"And now there's only five left to tell you
 Baby, I want you back"
5228,Chateau,"Woah-oh, oh-oh (Baby, would you meet me) Woah-oh, oh-oh, at the chateau"
5119,Chateau,"Woah-oh, oh-oh (Baby, would you meet me)"
1413,Chateau,"I said it, what if I said it?"
11114,Chateau,1.1
4792,Chateau,"Woah-oh, oh-oh (Baby, would you meet me)"
4574,Chateau,"I said it, there, I said it (Yeah)"
4465,Chateau,"Would you come back around?
'Cause I need you right now (Need you right now)"
1195,Chateau,"Baby, I want you back There's a space in my bed"
1958,Chateau,Would you meet me at the chateau?
11005,Chateau,9.6
1849,Chateau,"I said it, there, I said it Baby, I want you back
"
5446,Chateau,"Baby, would you meet me at the chateau?"
2612,Chateau,In the shape of your head (Of your head)
3375,Chateau,"Woah-oh, oh-oh, at the chateau Baby, I want you back"
3593,Chateau,"Woah-oh, oh-oh, at the chateau Baby, I want you back
"
5773,Chateau,"Woah-oh, oh-oh (Baby, would you meet me) Woah-oh, oh-oh, at the chateau"
105,Chateau, I saw you on the corner
2721,Chateau,"I said it, what if I said it? (Yeah)"
10351,Chateau,105
214,Chateau,"You look happy, happier than I do"
4029,Chateau,"Baby, I want you back (Yeah) There's a space in my bed"
3157,Chateau,"I said it, there, I said it (Yeah) Baby, I want you back (Woo)
"
5882,Chateau,"Woah-oh, oh-oh, at the chateau Baby, I want you back"
3811,Chateau,"And now there's only five left to tell you
"
10569,Chateau,Studio albums
2830,Chateau,"Baby, I want you back (I want you)"
10460,Chateau,DNA
432,Chateau,"Am I crazy, is it blonder than it was than"
4138,Chateau,There's a space in my bed In the shape of your head
11223,Chateau,89.3
3048,Chateau,"I said it, there, I said it (Yeah)"
650,Chateau,"When you walked out my house? I didn't say a thing, no"
3484,Chateau,"Woah-oh, oh-oh Woah-oh, oh-oh, at the chateau"
3702,Chateau,"Took my words, wrote them down, threw them out"
2939,Chateau,"Would you come back around? (Around)
'Cause I need you right now"
3920,Chateau,"And now there's only five left to tell you
 Baby, I want you back (Yeah)"
5664,Chateau,"Woah-oh, oh-oh (Baby, would you meet me)"
541,Chateau,"Am I crazy, is it blonder than it was than When you walked out my house?"
323,Chateau,"You look happy, happier than I do Your hair's a little longer"
3266,Chateau,"Woah-oh, oh-oh Woah-oh, oh-oh, at the chateau"
4247,Chateau,"I said it, what if I said it? (Yeah)"
759,Chateau,"It's funny how a year can fill your head with should've, would've, could've been
"
11332,Chateau,96.57
3108,Climbing the Walls,"Now I'm climbing the walls 'cause I miss you
 It's an illusion"
11283,Climbing the Walls,-50.07
3326,Climbing the Walls,How can I feel this way? If I can't have you
4743,Climbing the Walls,And I don't wanna know The reason why I
10520,Climbing the Walls,Studio albums
710,Climbing the Walls,"Yeah it's coming to get me You're under my skin
"
4198,Climbing the Walls,And I don't wanna know The reason why I
1800,Climbing the Walls,And let me feel your pain kept inside (oh yeah)
2781,Climbing the Walls,And I don't wanna know The reason why I
3980,Climbing the Walls,Caught by the taste of your kiss (I don't wanna know)
274,Climbing the Walls,If only you could stay with me now
4307,Climbing the Walls,Can't stay forever like this (I'm climbing the walls)
1909,Climbing the Walls,And let me feel your pain kept inside (oh yeah) There's gotta be a way
1146,Climbing the Walls,Caught by the taste of your kiss And I don't wanna know
383,Climbing the Walls,If only you could stay with me now So tell me what it is
3871,Climbing the Walls,You're a part of me now (now)
3435,Climbing the Walls,If I can't have you It's an illusion
1364,Climbing the Walls,The reason why I Can't stay forever like this
4634,Climbing the Walls,"I can't let you go no
 And I don't wanna know"
2127,Climbing the Walls,For you and I together now Yeah it's coming to get me
10847,Climbing the Walls,"Close your eyes, make a wish
That this could last forever
If only you could stay with me now
So tell me what it is
That keeps us from each other now
Yeah it's coming to get me
You're under my skin

No I can't let you go
You're a part of me now
Caught by the taste of your kiss
And I don't wanna know
The reason why I
Can't stay forever like this
Now I'm climbing the walls 'cause I miss you

Take my hand, take my life
Just don't take forever
And let me feel your pain kept inside (oh yeah)
There's gotta be a way
For you and I together now
Yeah it's coming to get me
You're under my skin

No I can't let you go
You're a part of me now
Caught by the taste of your kiss (oh)
And I don't wanna know
The reason why I
Can't stay forever like this
Now I'm climbing the walls 'cause I miss you

It's an illusion
How can I feel this way?
If I can't have you
It's an illusion
Nothing is real this way
If I can't have you

No I can't let you go
You're a part of me now (now)
Caught by the taste of your kiss (I don't wanna know)
And I don't wanna know
The reason why I
Can't stay forever like this (I'm climbing the walls)
Now I'm climbing the walls 'cause I miss

Oh
I can't let you go no

And I don't wanna know
The reason why I
Can't stay forever like this (oh oh)
Now I'm climbing the walls 'cause I miss (I miss) you"
1255,Climbing the Walls,And I don't wanna know The reason why I
2454,Climbing the Walls,No I can't let you go You're a part of me now
3217,Climbing the Walls,It's an illusion How can I feel this way?
4525,Climbing the Walls,"Oh I can't let you go no
"
4089,Climbing the Walls,Caught by the taste of your kiss (I don't wanna know) And I don't wanna know
10302,Climbing the Walls,56
11174,Climbing the Walls,83.7
601,Climbing the Walls,That keeps us from each other now Yeah it's coming to get me
165,Climbing the Walls,"Close your eyes, make a wish That this could last forever"
1473,Climbing the Walls,"Now I'm climbing the walls 'cause I miss you
"
3762,Climbing the Walls,"If I can't have you
 No I can't let you go"
4852,Climbing the Walls,Can't stay forever like this (oh oh)
56,Climbing the Walls," Close your eyes, make a wish"
2999,Climbing the Walls,"Now I'm climbing the walls 'cause I miss you
"
1037,Climbing the Walls,Caught by the taste of your kiss
3653,Climbing the Walls,"Nothing is real this way If I can't have you
"
10193,Climbing the Walls,56
4961,Climbing the Walls,Now I'm climbing the walls 'cause I miss (I miss) you
10956,Climbing the Walls,6.7
10411,Climbing the Walls,Never Gone
1582,Climbing the Walls,"Now I'm climbing the walls 'cause I miss you
 Take my hand, take my life"
2345,Climbing the Walls,"You're under my skin
 No I can't let you go"
2890,Climbing the Walls,The reason why I Can't stay forever like this
4416,Climbing the Walls,"Now I'm climbing the walls 'cause I miss
"
2236,Climbing the Walls,"Yeah it's coming to get me You're under my skin
"
2018,Climbing the Walls,There's gotta be a way For you and I together now
11065,Climbing the Walls,9.6
1691,Climbing the Walls,"Take my hand, take my life Just don't take forever"
819,Climbing the Walls,"You're under my skin
 No I can't let you go"
492,Climbing the Walls,That keeps us from each other now
2563,Climbing the Walls,Caught by the taste of your kiss (oh)
928,Climbing the Walls,No I can't let you go You're a part of me now
3544,Climbing the Walls,It's an illusion Nothing is real this way
2672,Climbing the Walls,Caught by the taste of your kiss (oh) And I don't wanna know
2885,Crawling Back to You,Touch these hands that can't stop shaking Hear my heart that's barely beating
3212,Crawling Back to You,But baby here I am Banging on your front door
2122,Crawling Back to You,Banging on your front door My pride spilled on the floor
923,Crawling Back to You,My hands and knees are bruised and I'm crawling back to you
2340,Crawling Back to You,My hands and knees are bruised and now I'm crawling back to you Begging for a second chance
2776,Crawling Back to You,Touch these hands that can't stop shaking
4411,Crawling Back to You,Crawling back to you Crawling back to you
11169,Crawling Back to You,77.2
378,Crawling Back to You,It was time that we moved on
2449,Crawling Back to You,Begging for a second chance Are you gonna let me in?
3103,Crawling Back to You,"You will see a different man
 But baby here I am"
2994,Crawling Back to You,"Hear my heart that's barely beating You will see a different man
"
596,Crawling Back to You,"I know I broke your heart, I didn't mean to break your heart But baby here I am
"
487,Crawling Back to You,"I know I broke your heart, I didn't mean to break your heart"
2231,Crawling Back to You,My hands and knees are bruised and now I'm crawling back to you
1032,Crawling Back to You,My hands and knees are bruised and I'm crawling back to you Begging for a second chance
3975,Crawling Back to You,Banging on your front door (darling) My pride spilled on the floor
4520,Crawling Back to You,Crawling back to you Crawling back to you
11060,Crawling Back to You,10.3
1141,Crawling Back to You,Begging for a second chance Are you gonna let me in?
10515,Crawling Back to You,Studio albums
269,Crawling Back to You,Yeah I know I said we'd be better off alone
3430,Crawling Back to You,My hands and knees are bruised and I'm crawling back to you (come on)
1468,Crawling Back to You,I know you're in there and you can make me wait But I'm not gonna wait
705,Crawling Back to You,"But baby here I am
 Banging on your front door"
11278,Crawling Back to You,41.03
4193,Crawling Back to You,"I was running from the truth, now I'm crawling back to you, yeah Now I'm crawling back to you"
3648,Crawling Back to You,Are you gonna let me in? (let me in)
3757,Crawling Back to You,"I was running from the truth, now I'm crawling back to you
"
51,Crawling Back to You,Everybody knows that I was such a fool to ever let go of you
3866,Crawling Back to You,"I was running from the truth, now I'm crawling back to you
 Banging on your front door (darling)"
1686,Crawling Back to You,"I was lying to myself, now I'm dying in this hell"
1904,Crawling Back to You,"Girl I know you're mad, I can't blame you for being mad But baby here I am
"
4302,Crawling Back to You,Now I'm crawling back to you Crawling back to you
160,Crawling Back to You,Everybody knows that I was such a fool to ever let go of you Baby I was wrong
1359,Crawling Back to You,I know you're in there and you can make me wait
10406,Crawling Back to You,Never Gone
1795,Crawling Back to You,"Girl I know you're mad, I can't blame you for being mad"
2667,Crawling Back to You,If you could see these tears I'm crying
1577,Crawling Back to You,"It's the least that I can do, just to tell you face to face"
10951,Crawling Back to You,12.5
3321,Crawling Back to You,Banging on your front door My pride spilled on the floor
4084,Crawling Back to You,"I was running from the truth, now I'm crawling back to you, yeah"
1250,Crawling Back to You,"I was running from the truth and now I'm crawling back to you
"
10842,Crawling Back to You,"Everybody knows that I was such a fool to ever let go of you
Baby I was wrong
Yeah I know I said we'd be better off alone
It was time that we moved on
I know I broke your heart, I didn't mean to break your heart
But baby here I am

Banging on your front door
My pride spilled on the floor
My hands and knees are bruised and I'm crawling back to you
Begging for a second chance
Are you gonna let me in?
I was running from the truth and now I'm crawling back to you

I know you're in there and you can make me wait
But I'm not gonna wait
It's the least that I can do, just to tell you face to face
I was lying to myself, now I'm dying in this hell
Girl I know you're mad, I can't blame you for being mad
But baby here I am

Banging on your front door
My pride spilled on the floor
My hands and knees are bruised and now I'm crawling back to you
Begging for a second chance
Are you gonna let me in?
I was running from the truth and now I'm crawling back to you

If you could see these tears I'm crying
Touch these hands that can't stop shaking
Hear my heart that's barely beating
You will see a different man

But baby here I am
Banging on your front door
My pride spilled on the floor
My hands and knees are bruised and I'm crawling back to you (come on)
Begging for a second chance
Are you gonna let me in? (let me in)
I was running from the truth, now I'm crawling back to you

Banging on your front door (darling)
My pride spilled on the floor
I was running from the truth, now I'm crawling back to you, yeah
Now I'm crawling back to you
Crawling back to you
Crawling back to you
Crawling back to you"
2013,Crawling Back to You,"But baby here I am
 Banging on your front door"
10188,Crawling Back to You,51
3539,Crawling Back to You,My hands and knees are bruised and I'm crawling back to you (come on) Begging for a second chance
10297,Crawling Back to You,51
814,Crawling Back to You,Banging on your front door My pride spilled on the floor
2558,Crawling Back to You,"I was running from the truth and now I'm crawling back to you
"
5350,Darlin',"To let me love you
(Can't you see) Girl you know"
6767,Darlin',You gotta tell me girl You gotta let me know
6113,Darlin',Tell me what to do to make things right
1208,Darlin',Tell me why can't I find love in your heart If you were my lover
4042,Darlin',Tell me what to do to make things right
10255,Darlin',9
1644,Darlin',Tell me what to do to make things right
4805,Darlin',There are so many ways to love
10146,Darlin',9
6004,Darlin',Tell me what to do to make things right
2952,Darlin',Tell me what to do to make things right
4914,Darlin',There are so many ways to love So just open your heart
2298,Darlin',Trying hard to hide all truth that you might say If you listen to me girl
3715,Darlin',That it can be for you and I
9,Darlin'," Baby, can I talk to you"
1535,Darlin',Tell me what to do to make things right
990,Darlin',If your words had meaning If you really cared about me
554,Darlin',I know you still care So tell me what to do
3606,Darlin',And if by chance we should find
2189,Darlin',Trying hard to hide all truth that you might say
3824,Darlin',That it can be for you and I Then girl I've tried
1426,Darlin',"Tell me why would you turn away from my love
"
336,Darlin',Things just ain't the same But deep down inside
3933,Darlin',"Then girl I've tried I've tried, oh baby
"
6331,Darlin',"For love
(Tell me what to do to make things right)
(For love)

(Oh my darlin')
(I need to know)
(I just wanna know how to make things right)"
4587,Darlin',"Tell me how can I make you mine
"
10364,Darlin',Backstreet Boys
1971,Darlin',"For love
(Tell me what to do to make things right)
(For love)
 If your words have reasons"
3279,Darlin',"To let me love you
(Can't you see)"
6440,Darlin',Baby won't you tell me what to do to make things right
3170,Darlin',All I'm asking for is a chance
2080,Darlin',Then they won't turn away from me
5241,Darlin',"To let me love you
(Can't you see)"
11018,Darlin',9.4
11236,Darlin',-97.05
5132,Darlin',All I'm asking for is a chance
3388,Darlin',"To let me love you
(Can't you see) Girl you know"
1862,Darlin',"For love
(Tell me what to do to make things right)
(For love)
"
6222,Darlin',Tell me what to do to make things right
4478,Darlin',"For love
(Tell me what to do to make things right)
(For love)
 Give anything for your love"
3061,Darlin',"For love
(Tell me what to do to make things right)
(For love)
(Can't you see)"
118,Darlin',"Baby, can I talk to you I know something's wrong"
5023,Darlin',"And I'll find a way

(Can't you see)"
1753,Darlin',Tell me what to do to make things right
3497,Darlin',With me is where you should be
10909,Darlin',6.0
1099,Darlin',Tell me why can't I find love in your heart
445,Darlin',But deep down inside I know you still care
10473,Darlin',Studio albums
6549,Darlin',Baby won't you tell me what to do to make things right
10800,Darlin',"Baby, can I talk to you
I know something's wrong
Things just ain't the same
But deep down inside
I know you still care
So tell me what to do
To get things back again
The way they used to be

If your words had meaning
If you really cared about me
Tell me why can't I find love in your heart
If you were my lover
Or come as a friend to me
Tell me why would you turn away from my love

So darlin'
Tell me what to do to make things right
Darlin'
Tell me what to do to make things right
Darlin'
Tell me what to do to make things right
For love
(Tell me what to do to make things right)
(For love)

If your words have reasons
Then they won't turn away from me
Trying hard to hide all truth that you might say
If you listen to me girl
If you know how I'm feeling inside
Then maybe
You wouldn't shut me
Out of your life, baby

So darlin'
Tell me what to do to make things right
Darlin'
Tell me what to do to make things right
Darlin'
Tell me what to do to make things right
For love
(Tell me what to do to make things right)
(For love)
(Can't you see)
All I'm asking for is a chance
To let me love you
(Can't you see)
Girl you know
With me is where you should be
And if by chance we should find
That it can be for you and I
Then girl I've tried
I've tried, oh baby

So darlin'
Tell me what to do to make things right
Darlin'
Tell me what to do to make things right
Darlin'
Tell me what to do to make things right
For love
(Tell me what to do to make things right)
(For love)

Give anything for your love
Tell me how can I make you mine

Girl you should know how I feel by now
There are so many ways to love
So just open your heart
And I'll find a way

(Can't you see)
All I'm asking for is a chance
To let me love you
(Can't you see)
Girl you know
This is where you should be, ooh
And if by chance that we should find
That it can be for you and I
Then girl I've tried
I've tried, oh baby

So darlin'
Tell me what to do to make things right
Darlin'
Tell me what to do to make things right
Darlin'
Tell me what to do to make things right
For love
(Tell me what to do to make things right)
(For love)

(Oh my darlin')
(I need to know)
(I just wanna know how to make things right)
Baby won't you tell me what to do to make things right
Baby won't you tell me what to do to make things right
You gotta tell me girl
You gotta let me know"
1317,Darlin',Or come as a friend to me
227,Darlin',I know something's wrong Things just ain't the same
6658,Darlin',Baby won't you tell me what to do to make things right You gotta tell me girl
772,Darlin',"To get things back again The way they used to be
"
4696,Darlin',Girl you should know how I feel by now
5568,Darlin',And if by chance that we should find
2625,Darlin',"You wouldn't shut me Out of your life, baby
"
2734,Darlin',Tell me what to do to make things right
4260,Darlin',Tell me what to do to make things right
881,Darlin',"The way they used to be
 If your words had meaning"
5459,Darlin',"This is where you should be, ooh"
5895,Darlin',"Then girl I've tried I've tried, oh baby
"
5677,Darlin',That it can be for you and I
2516,Darlin',Then maybe You wouldn't shut me
663,Darlin',So tell me what to do To get things back again
2407,Darlin',If you know how I'm feeling inside
11127,Darlin',84.7
4151,Darlin',Tell me what to do to make things right
4369,Darlin',"For love
(Tell me what to do to make things right)
(For love)
"
2843,Darlin',Tell me what to do to make things right
5786,Darlin',That it can be for you and I Then girl I've tried
2495,"Don't Go Breaking My Heart
","So if you're gonna love me, love me right, yeah"
10452,"Don't Go Breaking My Heart
",DNA
206,"Don't Go Breaking My Heart
","Did I finally find me a river that could lead me out to the ocean?
'Cause I've only ever known the kind of love that leaves you bodied and broken"
2713,"Don't Go Breaking My Heart
","Then do it to a heart that isn't mine
"
2277,"Don't Go Breaking My Heart
","Baby, don't go breaking my heart, breaking my heart
'Cause it's the only one I got
'Cause it's the only one I got
 I've been broken, I've been bruised"
1187,"Don't Go Breaking My Heart
",Does it make you wanna pick up all your things and drive away like it's stolen?
3040,"Don't Go Breaking My Heart
","Baby, don't go breaking my heart, breaking my heart"
11324,"Don't Go Breaking My Heart
",97.88
1623,"Don't Go Breaking My Heart
",I'm not that kind of person who can fall in and out of love with you
751,"Don't Go Breaking My Heart
","That's not what love's supposed to do
"
2386,"Don't Go Breaking My Heart
",But now I'm all in 'cause of you
3149,"Don't Go Breaking My Heart
","Baby, don't go breaking my heart, breaking my heart
'Cause it's the only one I got"
1841,"Don't Go Breaking My Heart
","Baby, don't go breaking my heart, breaking my heart"
533,"Don't Go Breaking My Heart
",That's not what love's supposed to do
97,"Don't Go Breaking My Heart
", I got mixed emotions
2059,"Don't Go Breaking My Heart
","Baby, don't go breaking my heart, breaking my heart"
1296,"Don't Go Breaking My Heart
","Just forgive me if I'm being too open, no no no no, yeah yeah yeah
"
11215,"Don't Go Breaking My Heart
",85.7
3367,"Don't Go Breaking My Heart
","It's the only one, it's the only one I got
'Cause it's the only one I got Baby don't go..."
10561,"Don't Go Breaking My Heart
",Studio albums
860,"Don't Go Breaking My Heart
","Baby, don't go breaking my heart, breaking my heart"
1732,"Don't Go Breaking My Heart
","That's not what love's supposed to do
"
2168,"Don't Go Breaking My Heart
","Baby, don't go breaking my heart, breaking my heart
'Cause it's the only one I got
'Cause it's the only one I got
"
2604,"Don't Go Breaking My Heart
",But if you're gonna be someone that hurts somebody just for fun
2931,"Don't Go Breaking My Heart
","Baby, don't go breaking my heart, breaking my heart
'Cause it's the only one I got
'Cause it's the only one I got"
3258,"Don't Go Breaking My Heart
","It's the only one, it's the only one I got
'Cause it's the only one I got"
1405,"Don't Go Breaking My Heart
",I'm not that kind of person who can fall in and out of love with you
10234,"Don't Go Breaking My Heart
",97
315,"Don't Go Breaking My Heart
","So forgive me for my mixed emotions, yeah yeah
"
424,"Don't Go Breaking My Heart
",I'm not that kind of person who can fall in and out of love with you
642,"Don't Go Breaking My Heart
",I'm not that kind of person who can fall in and out of love with you
